tissue,coding_pattern,count,total_gene_tissue_pairs,percentage
Adipose Tissue,none,0,754,0
Adipose Tissue,A,715,754,94.8275862068966
Adipose Tissue,R,1,754,0.13262599469496
Adipose Tissue,D,16,754,2.12201591511936
Adipose Tissue,AR,4,754,0.530503978779841
Adipose Tissue,AD,18,754,2.38726790450928
Adipose Tissue,RD,0,754,0
Adipose Tissue,ADR,0,754,0
Adrenal Gland,none,0,247,0
Adrenal Gland,A,233,247,94.331983805668
Adrenal Gland,R,4,247,1.61943319838057
Adrenal Gland,D,8,247,3.23886639676113
Adrenal Gland,AR,0,247,0
Adrenal Gland,AD,2,247,0.809716599190283
Adrenal Gland,RD,0,247,0
Adrenal Gland,ADR,0,247,0
Blood,none,0,350,0
Blood,A,307,350,87.7142857142857
Blood,R,3,350,0.857142857142857
Blood,D,28,350,8
Blood,AR,3,350,0.857142857142857
Blood,AD,9,350,2.57142857142857
Blood,RD,0,350,0
Blood,ADR,0,350,0
Blood Vessel,none,0,842,0
Blood Vessel,A,803,842,95.3681710213777
Blood Vessel,R,2,842,0.237529691211401
Blood Vessel,D,25,842,2.96912114014252
Blood Vessel,AR,1,842,0.118764845605701
Blood Vessel,AD,11,842,1.30641330166271
Blood Vessel,RD,0,842,0
Blood Vessel,ADR,0,842,0
Brain,none,0,148,0
Brain,A,137,148,92.5675675675676
Brain,R,0,148,0
Brain,D,10,148,6.75675675675676
Brain,AR,0,148,0
Brain,AD,1,148,0.675675675675676
Brain,RD,0,148,0
Brain,ADR,0,148,0
Breast,none,0,372,0
Breast,A,354,372,95.1612903225806
Breast,R,0,372,0
Breast,D,12,372,3.2258064516129
Breast,AR,2,372,0.537634408602151
Breast,AD,4,372,1.0752688172043
Breast,RD,0,372,0
Breast,ADR,0,372,0
Colon,none,0,484,0
Colon,A,458,484,94.6280991735537
Colon,R,2,484,0.413223140495868
Colon,D,16,484,3.30578512396694
Colon,AR,1,484,0.206611570247934
Colon,AD,7,484,1.44628099173554
Colon,RD,0,484,0
Colon,ADR,0,484,0
Esophagus,none,0,396,0
Esophagus,A,384,396,96.969696969697
Esophagus,R,2,396,0.505050505050505
Esophagus,D,8,396,2.02020202020202
Esophagus,AR,0,396,0
Esophagus,AD,2,396,0.505050505050505
Esophagus,RD,0,396,0
Esophagus,ADR,0,396,0
Heart,none,0,312,0
Heart,A,294,312,94.2307692307692
Heart,R,0,312,0
Heart,D,11,312,3.52564102564103
Heart,AR,1,312,0.320512820512821
Heart,AD,6,312,1.92307692307692
Heart,RD,0,312,0
Heart,ADR,0,312,0
Kidney,none,0,32,0
Kidney,A,30,32,93.75
Kidney,R,0,32,0
Kidney,D,2,32,6.25
Kidney,AR,0,32,0
Kidney,AD,0,32,0
Kidney,RD,0,32,0
Kidney,ADR,0,32,0
Liver,none,0,222,0
Liver,A,211,222,95.045045045045
Liver,R,0,222,0
Liver,D,11,222,4.95495495495496
Liver,AR,0,222,0
Liver,AD,0,222,0
Liver,RD,0,222,0
Liver,ADR,0,222,0
Lung,none,0,498,0
Lung,A,468,498,93.9759036144578
Lung,R,1,498,0.200803212851406
Lung,D,20,498,4.01606425702811
Lung,AR,2,498,0.401606425702811
Lung,AD,7,498,1.40562248995984
Lung,RD,0,498,0
Lung,ADR,0,498,0
Muscle,none,0,756,0
Muscle,A,713,756,94.3121693121693
Muscle,R,2,756,0.264550264550265
Muscle,D,17,756,2.24867724867725
Muscle,AR,2,756,0.264550264550265
Muscle,AD,22,756,2.91005291005291
Muscle,RD,0,756,0
Muscle,ADR,0,756,0
Nerve,none,0,1118,0
Nerve,A,1069,1118,95.6171735241503
Nerve,R,1,1118,0.0894454382826476
Nerve,D,27,1118,2.41502683363149
Nerve,AR,3,1118,0.268336314847943
Nerve,AD,18,1118,1.61001788908766
Nerve,RD,0,1118,0
Nerve,ADR,0,1118,0
Ovary,none,0,137,0
Ovary,A,129,137,94.1605839416058
Ovary,R,0,137,0
Ovary,D,7,137,5.10948905109489
Ovary,AR,1,137,0.72992700729927
Ovary,AD,0,137,0
Ovary,RD,0,137,0
